IP(111.249.30.86)玩家:【雄大】的在線元寶數量減少:【290】個, 時間:(2023-06-30 01:03:50.002)
IP(223.136.58.235)玩家:【姍姍來遲】的在線元寶數量減少:【1595】個, 時間:(2023-06-30 01:22:32.328)
IP(223.136.58.235)玩家:【姍姍來遲】的在線元寶數量減少:【2233】個, 時間:(2023-06-30 01:23:22.329)
IP(223.136.58.235)玩家:【姍姍來遲】的在線元寶數量減少:【957】個, 時間:(2023-06-30 01:26:07.327)
IP(114.40.61.19)玩家:【竹竿攪古井】的在線元寶數量增加:【5000】個, 時間:(2023-06-30 19:53:17.921)
IP(114.40.61.19)玩家:【竹竿攪古井】的在線元寶數量減少:【489】個, 時間:(2023-06-30 19:53:52.919)
IP(114.40.61.19)玩家:【竹竿攪古井】的在線元寶數量減少:【2900】個, 時間:(2023-06-30 19:54:37.919)
IP(114.40.61.19)玩家:【竹竿攪古井】的在線元寶數量減少:【1450】個, 時間:(2023-06-30 19:56:17.917)
IP(114.26.136.128)玩家:【舔】的在線元寶數量減少:【435】個, 時間:(2023-06-30 20:38:06.271)
IP(114.32.95.149)玩家:【劍十二】的在線元寶數量增加:【1000】個, 時間:(2023-06-30 21:04:34.475)
IP(114.26.136.128)玩家:【舔】的在線元寶數量增加:【5000】個, 時間:(2023-06-30 21:12:51.247)
IP(114.26.136.128)玩家:【舔】的在線元寶數量減少:【3420】個, 時間:(2023-06-30 21:15:56.244)
IP(114.26.136.128)玩家:【舔】的在線元寶數量減少:【1140】個, 時間:(2023-06-30 21:16:46.244)
IP(61.228.232.227)玩家:【CK】的在線元寶數量增加:【200】個, 時間:(2023-06-30 23:17:40.468)
IP(150.117.128.118)玩家:【ED】的在線元寶數量增加:【200】個, 時間:(2023-06-30 23:23:35.484)
IP(61.228.232.227)玩家:【CK】的在線元寶數量增加:【200】個, 時間:(2023-06-30 23:30:50.462)
IP(61.228.232.227)玩家:【CK】的在線元寶數量減少:【203】個, 時間:(2023-06-30 23:31:25.462)
