帳號:eva0531 人物:刑事組之虎 領取交易序號:4664(93003) 數量:50000 完成!! 時間：2023-07-03 00:27:33.702
帳號:0952302329 人物:風箏 領取交易序號:4662(93003) 數量:5000 完成!! 時間：2023-07-03 02:02:41.868
帳號:jollen0712 人物:沒寶命 領取交易序號:4666(40213) 數量:1 完成!! 時間：2023-07-03 11:40:32.442
帳號:jollen0712 人物:沒寶命 領取交易序號:4667(380067) 數量:1000 完成!! 時間：2023-07-03 11:40:32.443
帳號:jollen0712 人物:沒寶命 領取交易序號:4668(40308) 數量:50000000 完成!! 時間：2023-07-03 11:40:32.444
帳號:jollen0712 人物:沒寶命 領取交易序號:4669(370002) 數量:60000 完成!! 時間：2023-07-03 11:40:32.445
帳號:0952302329 人物:風箏 領取交易序號:4672(44070) 數量:60000 完成!! 時間：2023-07-03 12:49:43.42
帳號:0952302329 人物:風箏 領取交易序號:4670(84) 數量:1 完成!! 時間：2023-07-03 12:49:43.421
帳號:0952302329 人物:風箏 領取交易序號:4671(127) 數量:1 完成!! 時間：2023-07-03 12:49:43.423
帳號:12345 人物:百鬼丸 領取交易序號:4665(40275) 數量:1 完成!! 時間：2023-07-03 12:55:31.94
帳號:0952302329 人物:風箏 領取交易序號:4673(93003) 數量:100000 完成!! 時間：2023-07-03 13:13:11.841
帳號:larry1104 人物:光仔 領取交易序號:4674(44070) 數量:8888888 完成!! 時間：2023-07-03 15:39:40.901
帳號:asdf01 人物:7788不要9 領取交易序號:4675(44070) 數量:999999 完成!! 時間：2023-07-03 17:06:32.274
帳號:asdf01 人物:7788不要9 領取交易序號:4676(40308) 數量:99999999 完成!! 時間：2023-07-03 17:06:32.275
帳號:asdf01 人物:7788不要9 領取交易序號:4681(5804) 數量:1 完成!! 時間：2023-07-03 23:26:54.33
帳號:69666 人物:舔 領取交易序號:4677(40308) 數量:50000000 完成!! 時間：2023-07-03 23:31:00.975
帳號:69666 人物:舔 領取交易序號:4678(93003) 數量:500000 完成!! 時間：2023-07-03 23:31:00.976
帳號:69666 人物:舔 領取交易序號:4679(44070) 數量:50000 完成!! 時間：2023-07-03 23:31:00.977
帳號:69666 人物:舔 領取交易序號:4680(40308) 數量:50000000 完成!! 時間：2023-07-03 23:31:00.977
